name,degree,address,tel
서울선릉과정릉,4.5,서울 강남구 선릉로100길 1,02-568-1291
압구정로데오거리,4.2,서울 강남구 신사동 668-33,
양재천,4.7,서울 강남구 도곡동,
세븐럭카지노 강남코엑스점,3.8,서울 강남구 영동대로 513 컨벤션별관,02-3466-6100
대모산,3.7,서울 강남구 일원동,
맨발황톳길,4.7,서울 강남구 대치동 504-4,
스머프매직포레스트,4.6,서울 강남구 강남대로106길 29 지하 1층,02-564-1114
청담동명품거리,4.4,서울 강남구 압구정로 448,
신사동가로수길,3.0,서울 강남구 압구정로 120,
양재천 벚꽃길,5.0,서울 강남구 도곡동 468,
한류스타거리,4.0,서울 강남구 압구정동 516,
대치동학원가,2.6,서울 강남구 대치동 1026,
코엑스 동문광장,5.0,서울 강남구 봉은사로 524,
일원동맛의거리,5.0,서울 강남구 일원동,
강남스타일동상,4.3,서울 강남구 삼성동 159,
압구정토끼굴,4.5,서울 강남구 압구정동,
논현가구거리,2.0,서울 강남구 학동로 125 헬레스,
대모산둘레길,5.0,서울 강남구 수서동,
핑크뮬리그라스원,5.0,서울 강남구 도곡동 468,
전주이씨 광평대군파묘역,0.0,서울 강남구 광평로31길 20,
양재천길,4.6,서울 강남구 도곡동 468,
압구정지,5.0,서울 강남구 압구정로29길 68,
선릉 성종왕비정현왕후릉,5.0,서울 강남구 선릉로100길 1,
수서역종합안내센터,0.0,서울 강남구 밤고개로 99,02-6177-8246
청담동패션거리,5.0,서울 강남구 청담동,
탄천양재천 방문자센터,0.0,서울 강남구 남부순환로 3143,
학골맛의거리,5.0,서울 강남구 논현동 279-65,
성임헤드스파,0.0,서울 강남구 도산대로67길 19 힐탑빌딩 4층,02-6207-3153
마루공원 중앙광장,0.0,서울 강남구 개포동 18-1,
세곡천,0.0,서울 강남구 세곡동,
코엑스 K-POP광장,0.0,서울 강남구 삼성동 159-9,02-6000-8123
봉은사 진여문,3.0,서울 강남구 봉은사로97길 4,
강남관광정보센터,5.0,서울 강남구 압구정로 161,
포켓잭스,0.0,서울 강남구 강남대로106길 29,
봉은사 다래헌,3.0,서울 강남구 봉은사로 531,
양재천,5.0,서울 강남구 대치동,
밤을 걷는 밤 9화(신사동),5.0,,
