name,degree,address,tel
소모 쎈트럴주유소,,서울 강남구 삼성로 335,02-565-0267
GS칼텍스 은마주유소,,서울 강남구 영동대로 235,02-3452-1882
명품주유소,,서울 강남구 도곡로 249,02-501-1256
SK에너지 진달래주유소,,서울 강남구 도곡로 208,02-3462-0018
GS칼텍스 학여울주유소,,서울 강남구 남부순환로 3170,02-459-8829
극동유화 개나리주유소,,서울 강남구 언주로 423,02-564-0186
HD현대오일뱅크 도곡셀프주유소,,서울 강남구 남부순환로 2718,02-529-5101
HD현대오일뱅크직영 유진주유소,,서울 강남구 논현로 152,02-3462-5215
삼성동주유소,,서울 강남구 테헤란로 619,02-508-6572
말죽거리주유소,,서울 서초구 남부순환로 2650,02-579-9933
오일프러스주유소,,서울 강남구 남부순환로 2651,02-3462-5100
선진도곡주유소,,서울 강남구 도곡로 162,02-2058-3024
삼표에너지 아시아주유소,,서울 송파구 도곡로 438,02-416-1911
대선에너지,0.0,서울 서초구 남부순환로364길 8-16 대호빌딩 101호,02-579-5199
선문에너지 중앙주유소,,서울 서초구 바우뫼로 219,02-575-5110
GS칼텍스 삼성로주유소,,서울 강남구 삼성로 563,02-538-5138
대청주유소,,서울 강남구 개포로 654,02-445-5500
서광주유소,,서울 강남구 역삼로 142,02-562-4855
GS칼텍스 현암주유소,0.0,서울 강남구 논현로 508,
만정에너지 삼보주유소,,서울 강남구 봉은사로 433,02-518-5141
에너지플러스허브 GS타워주유소,,서울 강남구 논현로 516,02-539-5145
삼화주유소,,서울 송파구 백제고분로 125,02-2203-2280
세진에너지 개포주유소,,서울 강남구 양재대로 339,02-573-9031
양재주유소,,서울 서초구 바우뫼로 178,02-577-1621
일원주유소,,서울 강남구 양재대로55길 3,02-2226-5188
대성석유 동호주유소,,서울 강남구 봉은사로113길 51,02-545-0720
HD현대오일뱅크직영 양재현대주유소,,서울 서초구 마방로 6 1층,02-579-8429
YM21유통,0.0,서울 강남구 강남대로 388 강남센타빌딩 14층,02-3486-4477
동하석유힐탑주유소,,서울 강남구 논현로 640,02-544-4075
중앙에너비스 수서지점 (ENERVIS SUSEO),,서울 강남구 광평로 202,070-8707-4582
HD현대오일뱅크직영 서초제일주유소,,서울 서초구 사임당로 116,02-587-6080
한강에너지 퍼스트주유소,,서울 송파구 삼학사로 22,02-422-2834
에쓰오일직영 오토테크주유소,,서울 서초구 효령로 356,02-585-5189
지에스이앤알직영 송파제일주유소,,서울 송파구 삼학사로 50,02-424-2900
에너지플러스허브 삼방주유소,,서울 서초구 사평대로 364,02-536-5145
제이제이네트웍스 제이제이주유소,,서울 강남구 언주로 716,02-518-5631
HD현대오일뱅크직영 사평로주유소,,서울 서초구 사평대로 350,02-3481-2513
대성석유 석촌주유소,,서울 송파구 백제고분로 289,02-421-0051
양재최고주유소,,서울 서초구 매헌로 72,02-2057-5189
신화에너지주유소 서울지점,,서울 송파구 가락로 47,02-2202-8484
대성석유 연일주유소,,서울 서초구 남부순환로 2451,02-3471-5151
대신석유 대우주유소,,서울 서초구 양재대로 173,02-572-0567
태봉셀프주유소,,서울 서초구 태봉로 117,02-571-8000
SK논현주유소,,서울 강남구 논현로 747,02-511-0955
헌릉로주유소,,서울 서초구 헌릉로 177,02-2058-3224
만남의광장주유소,,서울 서초구 양재대로12길 73-71,02-573-7430
자곡셀프주유소,,서울 강남구 밤고개로 120,02-445-5840
HD현대오일뱅크직영 신사현대주유소,,서울 강남구 도산대로 163,02-546-2182
에너지플러스 허브 내곡주유소,,서울 서초구 헌릉로 210,02-3461-5145
대동석유 압구정주유소,,서울 강남구 언주로 842,02-545-6161
잠실에너지주유소,,서울 송파구 송파대로 442,02-414-5010
한미석유 서초주유소,,서울 서초구 반포대로 64,02-582-5198
GS칼텍스 남서울주유소,,서울 서초구 나루터로 83,02-542-1517
HD현대오일뱅크직영 잠실셀프주유소,,서울 송파구 송파대로 397,02-417-7111
전당앞주유소,,서울 서초구 남부순환로 2391,02-6080-0516
반포그린주유소,,서울 서초구 서초중앙로 239,02-532-5147
서초꽃마을주유소,,서울 서초구 반포대로 69,02-523-5551
HD현대오일뱅크직영 한양주유소,,서울 강남구 압구정로 302,02-3444-0804
대교주유소,,서울 강남구 강남대로 640,02-512-5521
방죽주유소,,서울 강남구 밤고개로 215,02-459-3434
대신석유 서원주유소,,서울 서초구 반포대로 142,02-599-3657
새서울석유 새서울주유소,,서울 강남구 압구정로 154,02-543-1154
대성산업직영 터미널고속주유소,,서울 서초구 신반포로 222,02-535-3001
HD현대오일뱅크직영 장호셀프주유소,,서울 광진구 자양로 37,02-447-9796
삼표에너지 훼미리주유소,,서울 송파구 중대로 58,02-448-9252
백제고분로주유소,,서울 송파구 오금로 143,02-2202-4050
송파주유소,,서울 송파구 송이로 28,02-2203-3737
유니스에너지 자양주유소,,서울 광진구 아차산로 298,02-457-7600
호림플러스홀딩스 남성주유소,,서울 송파구 백제고분로 474,02-423-5128
SK에너지 성수주유소,,서울 성동구 뚝섬로 352,02-467-7240
강남주유소,,서울 서초구 반포대로 284,02-594-5987
GS칼텍스 도루코주유소,,서울 성동구 아차산로 180,02-463-6919
HD현대오일뱅크직영 팔레스주유소,,서울 서초구 사평대로 136,02-720-0020
서초하이웨이주유소,,서울 서초구 양재대로2길 100-30,02-577-5151
HD현대오일뱅크직영 효진주유소,,서울 성동구 동일로 129,02-464-7252
구천면주유소,,서울 강동구 구천면로 357,02-441-0536
명일주유소,0.0,서울 강동구 고덕로 168,02-3428-1739
방아다리주유소,,서울 강동구 동남로 811,
현대오일뱅크직영 고속셀프주유소,0.0,서울 강동구 천호대로 1246,02-487-2030
재건에너지 재정제2주유소 고속지점,,서울 강동구 천호대로 1246,02-487-2030
천호현대주유소,,서울 강동구 천중로 67,02-484-9323
대성석유 길동주유소,,서울 강동구 천호대로 1168,02-474-7222
삼표에너지 고덕주유소,,서울 강동구 고덕로 39,02-441-3327
오렌지주유소,,서울 강동구 성안로 102,02-484-6166
광성주유소,,서울 강동구 올림픽로 673,02-470-5133
GS칼텍스 동서울주유소,,서울 강동구 천호대로 1456,02-426-5372
소모 성내주유소,,서울 강동구 올림픽로 578,02-479-3838
소모에너지 신월주유소,,서울 강동구 양재대로 1323,02-6956-6674
서울에너지 시민주유소,,서울 강북구 인수봉로 185,02-907-9496
북서울고속주유소,,서울 강북구 삼양로 410,02-907-5182
현대오일뱅크 서울에너지 시민주유소 개방화장실,0.0,서울 강북구 인수봉로 185,
북서울고속주유소 개방화장실,0.0,서울 강북구 삼양로 410,
에덴주유소,,서울 강북구 월계로 195,02-987-8182
석산에너지주유소,,서울 강북구 삼양로 316,02-980-1448
현대오일뱅크 직영 세한셀프주유소 개방화장실,0.0,서울 강북구 미아동 62-7,
덕릉로주유소,,서울 강북구 덕릉로 158,02-989-9806
주유소호프치킨,0.0,서울 강북구 솔샘로 278,
GS셀프 미아주유소 개방화장실,0.0,서울 강북구 도봉로 122,
하주에너지 수유동주유소,3.9,서울 강북구 도봉로 395,02-902-9470
